"","Year","Cause","Age","Female","Male"
"4220",1996,1,Total,21792,22127
"4220",1996,1,0,108,144
"4220",1996,1,1,10,14
"4220",1996,1,2,6,12
"4220",1996,1,3,3,7
"4220",1996,1,4,5,8
"4220",1996,1,5 - 9,11,24
"4220",1996,1,10 - 14,14,26
"4220",1996,1,15 - 19,33,73
"4220",1996,1,20 - 24,40,127
"4220",1996,1,25 - 29,55,187
"4220",1996,1,30 - 34,77,179
"4220",1996,1,35 - 39,121,213
"4220",1996,1,40 - 44,175,293
"4220",1996,1,45 - 49,290,490
"4220",1996,1,50 - 54,425,666
"4220",1996,1,55 - 59,468,763
"4220",1996,1,60 - 64,653,1164
"4220",1996,1,65 - 69,1125,1936
"4220",1996,1,70 - 74,1969,3285
"4220",1996,1,75 - 79,3160,4092
"4220",1996,1,80 - 84,4388,3975
"4220",1996,1,85 - 89,4513,2795
"4220",1996,1,90 - 94,2972,1285
"4220",1996,1,95+,1171,369
"4220",1996,1,UNK,0,0
"4220",1996,2,Total,215,221
"4220",1996,2,0,2,0
"4220",1996,2,1,1,4
"4220",1996,2,2,1,2
"4220",1996,2,3,0,1
"4220",1996,2,4,1,0
"4220",1996,2,5 - 9,0,1
"4220",1996,2,10 - 14,0,1
"4220",1996,2,15 - 19,0,1
"4220",1996,2,20 - 24,0,2
"4220",1996,2,25 - 29,2,5
"4220",1996,2,30 - 34,2,6
"4220",1996,2,35 - 39,1,8
"4220",1996,2,40 - 44,1,11
"4220",1996,2,45 - 49,0,8
"4220",1996,2,50 - 54,2,14
"4220",1996,2,55 - 59,2,7
"4220",1996,2,60 - 64,5,5
"4220",1996,2,65 - 69,10,13
"4220",1996,2,70 - 74,18,21
"4220",1996,2,75 - 79,25,35
"4220",1996,2,80 - 84,46,25
"4220",1996,2,85 - 89,50,33
"4220",1996,2,90 - 94,29,17
"4220",1996,2,95+,17,1
"4220",1996,2,UNK,0,0
"4220",1996,3,Total,5174,5786
"4220",1996,3,0,3,1
"4220",1996,3,1,1,1
"4220",1996,3,2,2,2
"4220",1996,3,3,1,3
"4220",1996,3,4,1,1
"4220",1996,3,5 - 9,4,9
"4220",1996,3,10 - 14,2,2
"4220",1996,3,15 - 19,1,9
"4220",1996,3,20 - 24,9,8
"4220",1996,3,25 - 29,11,16
"4220",1996,3,30 - 34,25,12
"4220",1996,3,35 - 39,62,25
"4220",1996,3,40 - 44,102,44
"4220",1996,3,45 - 49,178,127
"4220",1996,3,50 - 54,261,225
"4220",1996,3,55 - 59,286,266
"4220",1996,3,60 - 64,355,446
"4220",1996,3,65 - 69,539,700
"4220",1996,3,70 - 74,715,1076
"4220",1996,3,75 - 79,854,1202
"4220",1996,3,80 - 84,801,880
"4220",1996,3,85 - 89,600,525
"4220",1996,3,90 - 94,279,175
"4220",1996,3,95+,82,31
"4220",1996,3,UNK,0,0
"4220",1996,4,Total,9847,9651
"4220",1996,4,0,1,0
"4220",1996,4,1,1,1
"4220",1996,4,2,0,0
"4220",1996,4,3,0,0
"4220",1996,4,4,0,0
"4220",1996,4,5 - 9,1,0
"4220",1996,4,10 - 14,0,1
"4220",1996,4,15 - 19,1,2
"4220",1996,4,20 - 24,1,6
"4220",1996,4,25 - 29,3,12
"4220",1996,4,30 - 34,7,19
"4220",1996,4,35 - 39,9,34
"4220",1996,4,40 - 44,18,67
"4220",1996,4,45 - 49,27,137
"4220",1996,4,50 - 54,56,218
"4220",1996,4,55 - 59,69,262
"4220",1996,4,60 - 64,138,441
"4220",1996,4,65 - 69,334,840
"4220",1996,4,70 - 74,788,1479
"4220",1996,4,75 - 79,1492,1912
"4220",1996,4,80 - 84,2336,2012
"4220",1996,4,85 - 89,2402,1389
"4220",1996,4,90 - 94,1576,654
"4220",1996,4,95+,587,165
"4220",1996,4,UNK,0,0
"4220",1996,5,Total,850,694
"4220",1996,5,0,17,19
"4220",1996,5,1,0,2
"4220",1996,5,2,0,1
"4220",1996,5,3,0,0
"4220",1996,5,4,0,1
"4220",1996,5,5 - 9,0,0
"4220",1996,5,10 - 14,0,1
"4220",1996,5,15 - 19,0,2
"4220",1996,5,20 - 24,2,3
"4220",1996,5,25 - 29,2,5
"4220",1996,5,30 - 34,0,6
"4220",1996,5,35 - 39,2,10
"4220",1996,5,40 - 44,3,15
"4220",1996,5,45 - 49,7,23
"4220",1996,5,50 - 54,12,27
"4220",1996,5,55 - 59,5,33
"4220",1996,5,60 - 64,11,47
"4220",1996,5,65 - 69,26,43
"4220",1996,5,70 - 74,50,87
"4220",1996,5,75 - 79,88,83
"4220",1996,5,80 - 84,120,117
"4220",1996,5,85 - 89,171,79
"4220",1996,5,90 - 94,191,51
"4220",1996,5,95+,143,39
"4220",1996,5,UNK,0,0
"4220",1996,6,Total,575,546
"4220",1996,6,0,0,0
"4220",1996,6,1,0,0
"4220",1996,6,2,0,0
"4220",1996,6,3,0,0
"4220",1996,6,4,0,0
"4220",1996,6,5 - 9,0,0
"4220",1996,6,10 - 14,0,0
"4220",1996,6,15 - 19,1,1
"4220",1996,6,20 - 24,4,13
"4220",1996,6,25 - 29,3,37
"4220",1996,6,30 - 34,9,43
"4220",1996,6,35 - 39,7,42
"4220",1996,6,40 - 44,9,32
"4220",1996,6,45 - 49,9,25
"4220",1996,6,50 - 54,8,21
"4220",1996,6,55 - 59,6,21
"4220",1996,6,60 - 64,7,25
"4220",1996,6,65 - 69,10,33
"4220",1996,6,70 - 74,22,40
"4220",1996,6,75 - 79,66,54
"4220",1996,6,80 - 84,104,63
"4220",1996,6,85 - 89,148,49
"4220",1996,6,90 - 94,123,39
"4220",1996,6,95+,39,8
"4220",1996,6,UNK,0,0
"4220",1996,7,Total,452,437
"4220",1996,7,0,1,6
"4220",1996,7,1,3,0
"4220",1996,7,2,0,1
"4220",1996,7,3,0,1
"4220",1996,7,4,2,0
"4220",1996,7,5 - 9,2,0
"4220",1996,7,10 - 14,1,3
"4220",1996,7,15 - 19,3,6
"4220",1996,7,20 - 24,3,3
"4220",1996,7,25 - 29,2,6
"4220",1996,7,30 - 34,4,7
"4220",1996,7,35 - 39,7,4
"4220",1996,7,40 - 44,3,11
"4220",1996,7,45 - 49,10,15
"4220",1996,7,50 - 54,18,20
"4220",1996,7,55 - 59,13,19
"4220",1996,7,60 - 64,19,18
"4220",1996,7,65 - 69,24,28
"4220",1996,7,70 - 74,59,62
"4220",1996,7,75 - 79,83,78
"4220",1996,7,80 - 84,89,84
"4220",1996,7,85 - 89,73,47
"4220",1996,7,90 - 94,30,11
"4220",1996,7,95+,3,7
"4220",1996,7,UNK,0,0
"4220",1996,8,Total,362,313
"4220",1996,8,0,3,3
"4220",1996,8,1,1,0
"4220",1996,8,2,0,0
"4220",1996,8,3,0,0
"4220",1996,8,4,0,0
"4220",1996,8,5 - 9,0,0
"4220",1996,8,10 - 14,1,0
"4220",1996,8,15 - 19,0,4
"4220",1996,8,20 - 24,1,5
"4220",1996,8,25 - 29,2,6
"4220",1996,8,30 - 34,2,4
"4220",1996,8,35 - 39,8,3
"4220",1996,8,40 - 44,4,9
"4220",1996,8,45 - 49,7,13
"4220",1996,8,50 - 54,4,13
"4220",1996,8,55 - 59,7,13
"4220",1996,8,60 - 64,15,21
"4220",1996,8,65 - 69,29,36
"4220",1996,8,70 - 74,27,36
"4220",1996,8,75 - 79,52,52
"4220",1996,8,80 - 84,75,40
"4220",1996,8,85 - 89,66,38
"4220",1996,8,90 - 94,47,12
"4220",1996,8,95+,11,5
"4220",1996,8,UNK,0,0
"4220",1996,9,Total,661,649
"4220",1996,9,0,0,1
"4220",1996,9,1,0,0
"4220",1996,9,2,0,0
"4220",1996,9,3,0,0
"4220",1996,9,4,0,0
"4220",1996,9,5 - 9,0,0
"4220",1996,9,10 - 14,0,0
"4220",1996,9,15 - 19,0,0
"4220",1996,9,20 - 24,0,1
"4220",1996,9,25 - 29,1,2
"4220",1996,9,30 - 34,0,5
"4220",1996,9,35 - 39,2,11
"4220",1996,9,40 - 44,2,16
"4220",1996,9,45 - 49,8,32
"4220",1996,9,50 - 54,8,32
"4220",1996,9,55 - 59,14,36
"4220",1996,9,60 - 64,24,32
"4220",1996,9,65 - 69,25,45
"4220",1996,9,70 - 74,52,86
"4220",1996,9,75 - 79,92,106
"4220",1996,9,80 - 84,156,107
"4220",1996,9,85 - 89,163,83
"4220",1996,9,90 - 94,82,44
"4220",1996,9,95+,32,10
"4220",1996,9,UNK,0,0
"4220",1996,10,Total,286,285
"4220",1996,10,0,0,0
"4220",1996,10,1,0,1
"4220",1996,10,2,0,0
"4220",1996,10,3,0,0
"4220",1996,10,4,0,0
"4220",1996,10,5 - 9,0,0
"4220",1996,10,10 - 14,0,0
"4220",1996,10,15 - 19,0,0
"4220",1996,10,20 - 24,0,0
"4220",1996,10,25 - 29,0,0
"4220",1996,10,30 - 34,0,0
"4220",1996,10,35 - 39,2,2
"4220",1996,10,40 - 44,2,1
"4220",1996,10,45 - 49,2,1
"4220",1996,10,50 - 54,0,1
"4220",1996,10,55 - 59,1,3
"4220",1996,10,60 - 64,2,4
"4220",1996,10,65 - 69,5,10
"4220",1996,10,70 - 74,15,35
"4220",1996,10,75 - 79,34,50
"4220",1996,10,80 - 84,65,63
"4220",1996,10,85 - 89,88,69
"4220",1996,10,90 - 94,55,33
"4220",1996,10,95+,15,12
"4220",1996,10,UNK,0,0
"4220",1996,11,Total,113,161
"4220",1996,11,0,73,108
"4220",1996,11,1,1,2
"4220",1996,11,2,2,3
"4220",1996,11,3,0,1
"4220",1996,11,4,0,2
"4220",1996,11,5 - 9,1,2
"4220",1996,11,10 - 14,1,4
"4220",1996,11,15 - 19,1,2
"4220",1996,11,20 - 24,2,4
"4220",1996,11,25 - 29,1,0
"4220",1996,11,30 - 34,3,2
"4220",1996,11,35 - 39,1,2
"4220",1996,11,40 - 44,4,5
"4220",1996,11,45 - 49,0,8
"4220",1996,11,50 - 54,2,2
"4220",1996,11,55 - 59,6,3
"4220",1996,11,60 - 64,2,4
"4220",1996,11,65 - 69,6,4
"4220",1996,11,70 - 74,1,1
"4220",1996,11,75 - 79,3,1
"4220",1996,11,80 - 84,2,1
"4220",1996,11,85 - 89,1,0
"4220",1996,11,90 - 94,0,0
"4220",1996,11,95+,0,0
"4220",1996,11,UNK,0,0
"4220",1996,12,Total,2047,1886
"4220",1996,12,0,4,6
"4220",1996,12,1,0,1
"4220",1996,12,2,0,0
"4220",1996,12,3,0,0
"4220",1996,12,4,0,0
"4220",1996,12,5 - 9,0,0
"4220",1996,12,10 - 14,0,0
"4220",1996,12,15 - 19,1,0
"4220",1996,12,20 - 24,2,0
"4220",1996,12,25 - 29,2,0
"4220",1996,12,30 - 34,1,0
"4220",1996,12,35 - 39,1,2
"4220",1996,12,40 - 44,1,3
"4220",1996,12,45 - 49,9,12
"4220",1996,12,50 - 54,17,16
"4220",1996,12,55 - 59,31,33
"4220",1996,12,60 - 64,43,60
"4220",1996,12,65 - 69,67,104
"4220",1996,12,70 - 74,143,227
"4220",1996,12,75 - 79,248,384
"4220",1996,12,80 - 84,407,439
"4220",1996,12,85 - 89,504,348
"4220",1996,12,90 - 94,391,183
"4220",1996,12,95+,175,68
"4220",1996,12,UNK,0,0
"4220",1996,13,Total,896,1317
"4220",1996,13,0,3,0
"4220",1996,13,1,1,2
"4220",1996,13,2,1,3
"4220",1996,13,3,2,0
"4220",1996,13,4,1,4
"4220",1996,13,5 - 9,3,9
"4220",1996,13,10 - 14,8,13
"4220",1996,13,15 - 19,25,46
"4220",1996,13,20 - 24,13,81
"4220",1996,13,25 - 29,25,94
"4220",1996,13,30 - 34,19,72
"4220",1996,13,35 - 39,15,69
"4220",1996,13,40 - 44,20,76
"4220",1996,13,45 - 49,30,81
"4220",1996,13,50 - 54,32,69
"4220",1996,13,55 - 59,19,62
"4220",1996,13,60 - 64,24,55
"4220",1996,13,65 - 69,32,65
"4220",1996,13,70 - 74,46,103
"4220",1996,13,75 - 79,83,113
"4220",1996,13,80 - 84,125,120
"4220",1996,13,85 - 89,178,112
"4220",1996,13,90 - 94,134,49
"4220",1996,13,95+,57,19
"4220",1996,13,UNK,0,0
"4220",1996,14,Total,22,25
"4220",1996,14,0,1,0
"4220",1996,14,1,1,0
"4220",1996,14,2,0,0
"4220",1996,14,3,0,0
"4220",1996,14,4,0,0
"4220",1996,14,5 - 9,0,1
"4220",1996,14,10 - 14,1,1
"4220",1996,14,15 - 19,0,0
"4220",1996,14,20 - 24,3,1
"4220",1996,14,25 - 29,0,4
"4220",1996,14,30 - 34,4,1
"4220",1996,14,35 - 39,3,1
"4220",1996,14,40 - 44,2,3
"4220",1996,14,45 - 49,1,4
"4220",1996,14,50 - 54,2,1
"4220",1996,14,55 - 59,1,0
"4220",1996,14,60 - 64,0,1
"4220",1996,14,65 - 69,0,3
"4220",1996,14,70 - 74,0,1
"4220",1996,14,75 - 79,2,2
"4220",1996,14,80 - 84,0,1
"4220",1996,14,85 - 89,0,0
"4220",1996,14,90 - 94,1,0
"4220",1996,14,95+,0,0
"4220",1996,14,UNK,0,0
"4220",1997,1,Total,22364,22282
"4220",1997,1,0,111,140
"4220",1997,1,1,19,14
"4220",1997,1,2,7,8
"4220",1997,1,3,6,10
"4220",1997,1,4,2,6
"4220",1997,1,5 - 9,24,32
"4220",1997,1,10 - 14,12,26
"4220",1997,1,15 - 19,42,88
"4220",1997,1,20 - 24,35,129
"4220",1997,1,25 - 29,70,164
"4220",1997,1,30 - 34,68,189
"4220",1997,1,35 - 39,103,196
"4220",1997,1,40 - 44,185,316
"4220",1997,1,45 - 49,266,477
"4220",1997,1,50 - 54,436,677
"4220",1997,1,55 - 59,496,769
"4220",1997,1,60 - 64,632,1164
"4220",1997,1,65 - 69,1073,1876
"4220",1997,1,70 - 74,1958,3129
"4220",1997,1,75 - 79,3261,4082
"4220",1997,1,80 - 84,4447,4061
"4220",1997,1,85 - 89,4754,2994
"4220",1997,1,90 - 94,3145,1340
"4220",1997,1,95+,1212,395
"4220",1997,1,UNK,0,0
"4220",1997,2,Total,248,195
"4220",1997,2,0,1,2
"4220",1997,2,1,1,1
"4220",1997,2,2,0,0
"4220",1997,2,3,0,0
"4220",1997,2,4,0,0
"4220",1997,2,5 - 9,0,1
"4220",1997,2,10 - 14,2,0
"4220",1997,2,15 - 19,0,0
"4220",1997,2,20 - 24,0,1
"4220",1997,2,25 - 29,0,0
"4220",1997,2,30 - 34,1,6
"4220",1997,2,35 - 39,4,10
"4220",1997,2,40 - 44,2,5
"4220",1997,2,45 - 49,1,6
"4220",1997,2,50 - 54,6,9
"4220",1997,2,55 - 59,6,6
"4220",1997,2,60 - 64,3,6
"4220",1997,2,65 - 69,17,11
"4220",1997,2,70 - 74,19,21
"4220",1997,2,75 - 79,38,38
"4220",1997,2,80 - 84,50,38
"4220",1997,2,85 - 89,51,24
"4220",1997,2,90 - 94,37,10
"4220",1997,2,95+,9,0
"4220",1997,2,UNK,0,0
"4220",1997,3,Total,5127,5821
"4220",1997,3,0,1,1
"4220",1997,3,1,0,2
"4220",1997,3,2,0,0
"4220",1997,3,3,2,1
"4220",1997,3,4,0,2
"4220",1997,3,5 - 9,8,6
"4220",1997,3,10 - 14,1,7
"4220",1997,3,15 - 19,10,7
"4220",1997,3,20 - 24,5,13
"4220",1997,3,25 - 29,18,13
"4220",1997,3,30 - 34,22,23
"4220",1997,3,35 - 39,50,32
"4220",1997,3,40 - 44,105,58
"4220",1997,3,45 - 49,159,123
"4220",1997,3,50 - 54,267,257
"4220",1997,3,55 - 59,322,272
"4220",1997,3,60 - 64,355,439
"4220",1997,3,65 - 69,502,692
"4220",1997,3,70 - 74,715,1002
"4220",1997,3,75 - 79,845,1132
"4220",1997,3,80 - 84,800,952
"4220",1997,3,85 - 89,620,562
"4220",1997,3,90 - 94,263,188
"4220",1997,3,95+,57,37
"4220",1997,3,UNK,0,0
"4220",1997,4,Total,9997,9524
"4220",1997,4,0,3,0
"4220",1997,4,1,0,0
"4220",1997,4,2,0,0
"4220",1997,4,3,0,0
"4220",1997,4,4,0,0
"4220",1997,4,5 - 9,4,1
"4220",1997,4,10 - 14,0,2
"4220",1997,4,15 - 19,1,2
"4220",1997,4,20 - 24,1,2
"4220",1997,4,25 - 29,5,6
"4220",1997,4,30 - 34,2,13
"4220",1997,4,35 - 39,11,20
"4220",1997,4,40 - 44,14,65
"4220",1997,4,45 - 49,26,143
"4220",1997,4,50 - 54,53,193
"4220",1997,4,55 - 59,60,254
"4220",1997,4,60 - 64,143,444
"4220",1997,4,65 - 69,294,739
"4220",1997,4,70 - 74,747,1407
"4220",1997,4,75 - 79,1470,1955
"4220",1997,4,80 - 84,2315,1980
"4220",1997,4,85 - 89,2575,1486
"4220",1997,4,90 - 94,1652,634
"4220",1997,4,95+,621,178
"4220",1997,4,UNK,0,0
"4220",1997,5,Total,886,757
"4220",1997,5,0,9,20
"4220",1997,5,1,3,2
"4220",1997,5,2,1,1
"4220",1997,5,3,0,1
"4220",1997,5,4,0,0
"4220",1997,5,5 - 9,0,0
"4220",1997,5,10 - 14,0,0
"4220",1997,5,15 - 19,1,4
"4220",1997,5,20 - 24,3,5
"4220",1997,5,25 - 29,1,7
"4220",1997,5,30 - 34,2,7
"4220",1997,5,35 - 39,1,11
"4220",1997,5,40 - 44,6,10
"4220",1997,5,45 - 49,9,13
"4220",1997,5,50 - 54,9,30
"4220",1997,5,55 - 59,10,30
"4220",1997,5,60 - 64,13,48
"4220",1997,5,65 - 69,15,63
"4220",1997,5,70 - 74,41,88
"4220",1997,5,75 - 79,79,100
"4220",1997,5,80 - 84,149,109
"4220",1997,5,85 - 89,180,100
"4220",1997,5,90 - 94,224,69
"4220",1997,5,95+,130,39
"4220",1997,5,UNK,0,0
"4220",1997,6,Total,581,527
"4220",1997,6,0,0,0
"4220",1997,6,1,0,0
"4220",1997,6,2,0,0
"4220",1997,6,3,0,0
"4220",1997,6,4,0,0
"4220",1997,6,5 - 9,1,0
"4220",1997,6,10 - 14,1,0
"4220",1997,6,15 - 19,2,0
"4220",1997,6,20 - 24,7,9
"4220",1997,6,25 - 29,7,30
"4220",1997,6,30 - 34,7,41
"4220",1997,6,35 - 39,6,30
"4220",1997,6,40 - 44,4,30
"4220",1997,6,45 - 49,8,39
"4220",1997,6,50 - 54,5,31
"4220",1997,6,55 - 59,6,33
"4220",1997,6,60 - 64,5,18
"4220",1997,6,65 - 69,14,26
"4220",1997,6,70 - 74,23,38
"4220",1997,6,75 - 79,62,37
"4220",1997,6,80 - 84,122,61
"4220",1997,6,85 - 89,137,58
"4220",1997,6,90 - 94,128,35
"4220",1997,6,95+,36,11
"4220",1997,6,UNK,0,0
"4220",1997,7,Total,555,473
"4220",1997,7,0,3,5
"4220",1997,7,1,2,0
"4220",1997,7,2,1,0
"4220",1997,7,3,0,0
"4220",1997,7,4,0,0
"4220",1997,7,5 - 9,0,6
"4220",1997,7,10 - 14,2,1
"4220",1997,7,15 - 19,1,1
"4220",1997,7,20 - 24,4,5
"4220",1997,7,25 - 29,2,3
"4220",1997,7,30 - 34,4,11
"4220",1997,7,35 - 39,6,4
"4220",1997,7,40 - 44,10,9
"4220",1997,7,45 - 49,9,8
"4220",1997,7,50 - 54,13,17
"4220",1997,7,55 - 59,17,15
"4220",1997,7,60 - 64,16,22
"4220",1997,7,65 - 69,32,40
"4220",1997,7,70 - 74,65,77
"4220",1997,7,75 - 79,107,91
"4220",1997,7,80 - 84,110,85
"4220",1997,7,85 - 89,94,49
"4220",1997,7,90 - 94,51,21
"4220",1997,7,95+,6,3
"4220",1997,7,UNK,0,0
"4220",1997,8,Total,499,414
"4220",1997,8,0,1,2
"4220",1997,8,1,1,0
"4220",1997,8,2,0,0
"4220",1997,8,3,0,1
"4220",1997,8,4,0,0
"4220",1997,8,5 - 9,2,1
"4220",1997,8,10 - 14,0,1
"4220",1997,8,15 - 19,2,0
"4220",1997,8,20 - 24,0,5
"4220",1997,8,25 - 29,1,4
"4220",1997,8,30 - 34,1,5
"4220",1997,8,35 - 39,2,7
"4220",1997,8,40 - 44,1,10
"4220",1997,8,45 - 49,5,12
"4220",1997,8,50 - 54,5,14
"4220",1997,8,55 - 59,11,14
"4220",1997,8,60 - 64,12,19
"4220",1997,8,65 - 69,22,47
"4220",1997,8,70 - 74,42,54
"4220",1997,8,75 - 79,92,81
"4220",1997,8,80 - 84,111,56
"4220",1997,8,85 - 89,117,53
"4220",1997,8,90 - 94,55,20
"4220",1997,8,95+,16,8
"4220",1997,8,UNK,0,0
"4220",1997,9,Total,735,638
"4220",1997,9,0,0,0
"4220",1997,9,1,1,0
"4220",1997,9,2,0,0
"4220",1997,9,3,0,0
"4220",1997,9,4,0,0
"4220",1997,9,5 - 9,0,0
"4220",1997,9,10 - 14,0,2
"4220",1997,9,15 - 19,1,0
"4220",1997,9,20 - 24,0,1
"4220",1997,9,25 - 29,0,0
"4220",1997,9,30 - 34,1,3
"4220",1997,9,35 - 39,2,4
"4220",1997,9,40 - 44,4,30
"4220",1997,9,45 - 49,11,21
"4220",1997,9,50 - 54,19,37
"4220",1997,9,55 - 59,22,30
"4220",1997,9,60 - 64,16,38
"4220",1997,9,65 - 69,40,46
"4220",1997,9,70 - 74,50,78
"4220",1997,9,75 - 79,105,103
"4220",1997,9,80 - 84,137,114
"4220",1997,9,85 - 89,182,78
"4220",1997,9,90 - 94,103,44
"4220",1997,9,95+,41,9
"4220",1997,9,UNK,0,0
"4220",1997,10,Total,271,278
"4220",1997,10,0,0,0
"4220",1997,10,1,0,0
"4220",1997,10,2,0,0
"4220",1997,10,3,0,0
"4220",1997,10,4,0,0
"4220",1997,10,5 - 9,0,0
"4220",1997,10,10 - 14,0,0
"4220",1997,10,15 - 19,0,0
"4220",1997,10,20 - 24,0,0
"4220",1997,10,25 - 29,0,0
"4220",1997,10,30 - 34,0,1
"4220",1997,10,35 - 39,2,1
"4220",1997,10,40 - 44,1,0
"4220",1997,10,45 - 49,1,2
"4220",1997,10,50 - 54,2,1
"4220",1997,10,55 - 59,1,4
"4220",1997,10,60 - 64,1,4
"4220",1997,10,65 - 69,10,13
"4220",1997,10,70 - 74,13,27
"4220",1997,10,75 - 79,35,48
"4220",1997,10,80 - 84,69,63
"4220",1997,10,85 - 89,75,73
"4220",1997,10,90 - 94,44,36
"4220",1997,10,95+,17,5
"4220",1997,10,UNK,0,0
"4220",1997,11,Total,145,160
"4220",1997,11,0,92,106
"4220",1997,11,1,8,6
"4220",1997,11,2,3,2
"4220",1997,11,3,0,0
"4220",1997,11,4,1,3
"4220",1997,11,5 - 9,1,4
"4220",1997,11,10 - 14,2,4
"4220",1997,11,15 - 19,4,2
"4220",1997,11,20 - 24,3,2
"4220",1997,11,25 - 29,4,4
"4220",1997,11,30 - 34,1,3
"4220",1997,11,35 - 39,1,2
"4220",1997,11,40 - 44,4,1
"4220",1997,11,45 - 49,1,2
"4220",1997,11,50 - 54,5,2
"4220",1997,11,55 - 59,2,6
"4220",1997,11,60 - 64,5,2
"4220",1997,11,65 - 69,1,5
"4220",1997,11,70 - 74,0,2
"4220",1997,11,75 - 79,3,1
"4220",1997,11,80 - 84,3,1
"4220",1997,11,85 - 89,1,0
"4220",1997,11,90 - 94,0,0
"4220",1997,11,95+,0,0
"4220",1997,11,UNK,0,0
"4220",1997,12,Total,2105,1905
"4220",1997,12,0,1,0
"4220",1997,12,1,1,0
"4220",1997,12,2,0,0
"4220",1997,12,3,0,1
"4220",1997,12,4,0,0
"4220",1997,12,5 - 9,1,0
"4220",1997,12,10 - 14,1,1
"4220",1997,12,15 - 19,1,2
"4220",1997,12,20 - 24,1,1
"4220",1997,12,25 - 29,2,3
"4220",1997,12,30 - 34,0,1
"4220",1997,12,35 - 39,0,2
"4220",1997,12,40 - 44,1,5
"4220",1997,12,45 - 49,7,12
"4220",1997,12,50 - 54,10,7
"4220",1997,12,55 - 59,19,27
"4220",1997,12,60 - 64,30,55
"4220",1997,12,65 - 69,86,119
"4220",1997,12,70 - 74,164,222
"4220",1997,12,75 - 79,277,340
"4220",1997,12,80 - 84,389,459
"4220",1997,12,85 - 89,493,366
"4220",1997,12,90 - 94,416,203
"4220",1997,12,95+,205,79
"4220",1997,12,UNK,0,0
"4220",1997,13,Total,908,1393
"4220",1997,13,0,0,1
"4220",1997,13,1,2,2
"4220",1997,13,2,2,4
"4220",1997,13,3,4,6
"4220",1997,13,4,1,1
"4220",1997,13,5 - 9,5,11
"4220",1997,13,10 - 14,3,6
"4220",1997,13,15 - 19,19,67
"4220",1997,13,20 - 24,10,82
"4220",1997,13,25 - 29,24,90
"4220",1997,13,30 - 34,25,70
"4220",1997,13,35 - 39,13,68
"4220",1997,13,40 - 44,29,89
"4220",1997,13,45 - 49,25,92
"4220",1997,13,50 - 54,33,76
"4220",1997,13,55 - 59,17,71
"4220",1997,13,60 - 64,23,62
"4220",1997,13,65 - 69,28,61
"4220",1997,13,70 - 74,58,92
"4220",1997,13,75 - 79,106,134
"4220",1997,13,80 - 84,125,106
"4220",1997,13,85 - 89,178,115
"4220",1997,13,90 - 94,123,66
"4220",1997,13,95+,55,21
"4220",1997,13,UNK,0,0
"4220",1997,14,Total,13,28
"4220",1997,14,0,0,0
"4220",1997,14,1,0,0
"4220",1997,14,2,0,1
"4220",1997,14,3,0,0
"4220",1997,14,4,0,0
"4220",1997,14,5 - 9,1,1
"4220",1997,14,10 - 14,0,1
"4220",1997,14,15 - 19,0,2
"4220",1997,14,20 - 24,0,2
"4220",1997,14,25 - 29,3,3
"4220",1997,14,30 - 34,1,4
"4220",1997,14,35 - 39,2,3
"4220",1997,14,40 - 44,0,4
"4220",1997,14,45 - 49,2,1
"4220",1997,14,50 - 54,2,2
"4220",1997,14,55 - 59,0,3
"4220",1997,14,60 - 64,0,0
"4220",1997,14,65 - 69,1,0
"4220",1997,14,70 - 74,1,0
"4220",1997,14,75 - 79,0,0
"4220",1997,14,80 - 84,0,1
"4220",1997,14,85 - 89,0,0
"4220",1997,14,90 - 94,0,0
"4220",1997,14,95+,0,0
"4220",1997,14,UNK,0,0
"4220",1998,1,Total,22121,22149
"4220",1998,1,0,101,153
"4220",1998,1,1,15,8
"4220",1998,1,2,5,8
"4220",1998,1,3,5,6
"4220",1998,1,4,4,7
"4220",1998,1,5 - 9,11,22
"4220",1998,1,10 - 14,17,21
"4220",1998,1,15 - 19,39,75
"4220",1998,1,20 - 24,49,170
"4220",1998,1,25 - 29,54,182
"4220",1998,1,30 - 34,93,208
"4220",1998,1,35 - 39,115,240
"4220",1998,1,40 - 44,191,331
"4220",1998,1,45 - 49,255,449
"4220",1998,1,50 - 54,493,738
"4220",1998,1,55 - 59,446,817
"4220",1998,1,60 - 64,614,1145
"4220",1998,1,65 - 69,999,1821
"4220",1998,1,70 - 74,1772,2917
"4220",1998,1,75 - 79,3268,4105
"4220",1998,1,80 - 84,4404,4108
"4220",1998,1,85 - 89,4828,2952
"4220",1998,1,90 - 94,3124,1304
"4220",1998,1,95+,1219,362
"4220",1998,1,UNK,0,0
"4220",1998,2,Total,271,216
"4220",1998,2,0,1,4
"4220",1998,2,1,3,1
"4220",1998,2,2,0,2
"4220",1998,2,3,0,1
"4220",1998,2,4,1,0
"4220",1998,2,5 - 9,0,2
"4220",1998,2,10 - 14,1,0
"4220",1998,2,15 - 19,1,0
"4220",1998,2,20 - 24,1,2
"4220",1998,2,25 - 29,1,0
"4220",1998,2,30 - 34,5,0
"4220",1998,2,35 - 39,3,7
"4220",1998,2,40 - 44,5,9
"4220",1998,2,45 - 49,1,9
"4220",1998,2,50 - 54,3,4
"4220",1998,2,55 - 59,3,12
"4220",1998,2,60 - 64,8,6
"4220",1998,2,65 - 69,18,13
"4220",1998,2,70 - 74,14,19
"4220",1998,2,75 - 79,49,27
