"","Year","Cause","Age","Female","Male"
"4080",2000,1,Total,258810,272040
"4080",2000,1,0,1409,1984
"4080",2000,1,1,148,158
"4080",2000,1,2,69,96
"4080",2000,1,3,57,83
"4080",2000,1,4,46,65
"4080",2000,1,5 - 9,192,266
"4080",2000,1,10 - 14,240,373
"4080",2000,1,15 - 19,557,1340
"4080",2000,1,20 - 24,628,1957
"4080",2000,1,25 - 29,711,2312
"4080",2000,1,30 - 34,1202,2707
"4080",2000,1,35 - 39,1922,3942
"4080",2000,1,40 - 44,2928,6374
"4080",2000,1,45 - 49,4466,9777
"4080",2000,1,50 - 54,5735,13618
"4080",2000,1,55 - 59,5436,12946
"4080",2000,1,60 - 64,7745,17971
"4080",2000,1,65 - 69,12639,26856
"4080",2000,1,70 - 74,20180,35058
"4080",2000,1,75 - 79,33252,43556
"4080",2000,1,80 - 84,30155,29055
"4080",2000,1,85 - 89,58859,36459
"4080",2000,1,90 - 94,47907,19613
"4080",2000,1,95+,22327,5474
"4080",2000,1,UNK,0,0
"4080",2000,2,Total,5176,5439
"4080",2000,2,0,43,75
"4080",2000,2,1,5,15
"4080",2000,2,2,3,5
"4080",2000,2,3,6,4
"4080",2000,2,4,2,1
"4080",2000,2,5 - 9,6,2
"4080",2000,2,10 - 14,7,8
"4080",2000,2,15 - 19,9,7
"4080",2000,2,20 - 24,7,11
"4080",2000,2,25 - 29,18,49
"4080",2000,2,30 - 34,64,121
"4080",2000,2,35 - 39,83,266
"4080",2000,2,40 - 44,60,271
"4080",2000,2,45 - 49,87,222
"4080",2000,2,50 - 54,79,247
"4080",2000,2,55 - 59,93,223
"4080",2000,2,60 - 64,148,303
"4080",2000,2,65 - 69,237,452
"4080",2000,2,70 - 74,444,612
"4080",2000,2,75 - 79,716,796
"4080",2000,2,80 - 84,625,571
"4080",2000,2,85 - 89,1153,725
"4080",2000,2,90 - 94,884,364
"4080",2000,2,95+,397,89
"4080",2000,2,UNK,0,0
"4080",2000,3,Total,59957,89860
"4080",2000,3,0,12,19
"4080",2000,3,1,22,17
"4080",2000,3,2,8,9
"4080",2000,3,3,14,18
"4080",2000,3,4,14,17
"4080",2000,3,5 - 9,46,65
"4080",2000,3,10 - 14,48,54
"4080",2000,3,15 - 19,67,116
"4080",2000,3,20 - 24,71,121
"4080",2000,3,25 - 29,142,185
"4080",2000,3,30 - 34,291,281
"4080",2000,3,35 - 39,699,597
"4080",2000,3,40 - 44,1299,1647
"4080",2000,3,45 - 49,2153,3618
"4080",2000,3,50 - 54,3007,6064
"4080",2000,3,55 - 59,3030,6207
